speaker,part,order,item_id,tone,text,addressee,note
spk01,B,3,B-SD18,,張櫈擺返埋去,side,
spk01,B,4,B-TA18,,我部機成日斷線,to_agent,
spk01,B,5,B-TA04,,我想查下張單,to_agent,
spk01,B,6,B-TA01,,唔該你講清楚少少,to_agent,
spk01,B,7,B-TA12,,你可唔可以send個SMS俾我,to_agent,
spk01,B,8,B-TA19,,"你等等,我搵下張卡",to_agent,
spk01,B,9,B-SD08,,"阿婆,你坐低先啦",side,
spk01,B,10,B-PR09,pair,咁點算,to_agent,
spk01,B,11,B-PR09,pair,咁點算,side,
spk01,B,12,B-SD20,,件衫掛咗喺邊,side,
spk01,B,13,B-PR01,pair,等陣先,to_agent,
spk01,B,14,B-PR01,pair,等陣先,side,
spk01,B,15,B-SD04,,"囡囡,食完飯先玩",side,
spk01,B,16,B-TA10,,我想改個登記地址,to_agent,
spk01,B,17,B-SD01,,"阿媽,啲湯飲得未",side,
spk01,B,18,B-SD19,,你今晚返唔返嚟食飯,side,
spk01,B,19,B-PR06,pair,再講多次,to_agent,
spk01,B,20,B-PR06,pair,再講多次,side,
spk01,B,21,B-SD12,,邊個拎咗個遙控,side,
spk01,B,22,B-SD17,,垃圾拎咗落去未,side,
spk01,B,23,B-TA15,,"唔係喎,我冇申請過呢個",to_agent,
spk01,B,24,B-SD03,,"老公,幫手晾埋啲衫",side,
spk01,B,25,B-TA03,,可唔可以轉個真人同我傾,to_agent,
spk01,B,26,B-SD02,,"細佬,你攞咗我個叉電器呀",side,
spk01,B,27,B-SD11,,啲飯熟咗未,side,
spk01,B,28,B-SD07,,"仔仔,細聲啲啦",side,
spk01,B,29,B-PR08,pair,幾多錢話,to_agent,
spk01,B,30,B-PR08,pair,幾多錢話,side,
spk01,B,31,B-SD15,,個熱水爐著咗未,side,
spk01,B,32,B-TA11,,咁係咪要另外收錢,to_agent,
spk01,B,33,B-SD09,,"Amy,你幾點返公司",side,
spk01,B,34,B-PR02,pair,好呀,to_agent,
spk01,B,35,B-PR02,pair,好呀,side,
spk01,B,36,B-TA02,,咁我要點做,to_agent,
spk01,B,37,B-PR07,pair,得唔得呀,to_agent,
spk01,B,38,B-PR07,pair,得唔得呀,side,
spk01,B,39,B-PR03,pair,你講咩話,to_agent,
spk01,B,40,B-PR03,pair,你講咩話,side,
spk01,B,41,B-SD14,,快啲換鞋啦,side,
spk01,B,42,B-SD06,,"家姐,借你支筆用下",side,
spk01,B,43,B-SD10,,"老婆,雪櫃仲有冇蛋",side,
spk01,B,44,B-SD13,,隻貓又跳上枱,side,
spk01,B,45,B-TA13,,我諗諗先再覆你,to_agent,
spk01,B,46,B-PR05,pair,係咪呀,to_agent,
spk01,B,47,B-PR05,pair,係咪呀,side,
spk01,B,48,B-TA16,,咁張合約幾時完,to_agent,
spk01,B,49,B-TA06,,有冇折扣呀,to_agent,
spk01,B,50,B-TA07,,sorry可唔可以再講一次,to_agent,
spk01,B,51,B-PR04,pair,唔使喇,to_agent,
spk01,B,52,B-PR04,pair,唔使喇,side,
spk01,B,53,B-TA08,,我記唔到你頭先講嘅,to_agent,
spk01,B,54,B-PR10,pair,知道喇,to_agent,
spk01,B,55,B-PR10,pair,知道喇,side,
spk01,B,56,B-TA20,,"OK,咁就咁啦",to_agent,
spk01,B,57,B-SD16,,今日好熱呀,side,
spk01,B,58,B-TA17,,可唔可以分期俾,to_agent,
spk01,B,59,B-TA14,,"好,冇問題",to_agent,
spk01,B,60,B-TA05,,即係幾時要交錢,to_agent,
spk01,C,1,C,,"(自然應聲,事後標注時間點)",to_agent,
spk02,A,1,A03,statement,一千五百蚊,to_agent,
spk02,A,2,A04,statement,二百三十八蚊,to_agent,
spk02,A,3,A05,statement,九百九十九蚊,to_agent,
spk02,A,4,A27,statement,家居寬頻,to_agent,
spk02,A,5,A08,statement,二十八號,to_agent,
spk02,A,6,A17,statement,北角,to_agent,
spk02,A,7,A28,statement,行政費,to_agent,
spk02,A,8,A15,question,月頭,to_agent,
spk02,A,9,A09,statement,三點半,to_agent,
spk02,A,10,A04,question,二百三十八蚊,to_agent,
spk02,A,11,A16,statement,九龍塘,to_agent,
spk02,A,12,A25,statement,20GB,to_agent,
spk02,A,13,A14,statement,月尾,to_agent,
spk02,A,14,A11,statement,下晝五點,to_agent,
spk02,A,15,A28,question,行政費,to_agent,
spk02,A,16,A21,question,深水埗,to_agent,
spk02,A,17,A26,question,100GB,to_agent,
spk02,A,18,A21,statement,深水埗,to_agent,
spk02,A,19,A07,statement,二十號,to_agent,
spk02,A,20,A22,question,十八個月,to_agent,
spk02,A,21,A19,question,馬鞍山,to_agent,
spk02,A,22,A13,question,下個禮拜三,to_agent,
spk02,A,23,A11,question,下晝五點,to_agent,
spk02,A,24,A14,question,月尾,to_agent,
spk02,A,25,A01,question,四百蚊,to_agent,
spk02,A,26,A19,statement,馬鞍山,to_agent,
spk02,A,27,A22,statement,十八個月,to_agent,
spk02,A,28,A18,question,太子,to_agent,
spk02,A,29,A20,statement,天水圍,to_agent,
spk02,A,30,A17,question,北角,to_agent,
spk02,A,31,A29,question,年費,to_agent,
spk02,A,32,A25,question,20GB,to_agent,
spk02,A,33,A03,question,一千五百蚊,to_agent,
spk02,A,34,A16,question,九龍塘,to_agent,
spk02,A,35,A10,question,十一點,to_agent,
spk02,A,36,A12,question,八點半,to_agent,
spk02,A,37,A20,question,天水圍,to_agent,
spk02,A,38,A07,question,二十號,to_agent,
spk02,A,39,A23,statement,三十六個月,to_agent,
spk02,A,40,A24,statement,一個禮拜,to_agent,
spk02,A,41,A10,statement,十一點,to_agent,
spk02,A,42,A08,question,二十八號,to_agent,
spk02,A,43,A24,question,一個禮拜,to_agent,
spk02,A,44,A12,statement,八點半,to_agent,
spk02,A,45,A01,statement,四百蚊,to_agent,
spk02,A,46,A02,statement,七十蚊,to_agent,
spk02,A,47,A13,statement,下個禮拜三,to_agent,
spk02,A,48,A06,question,五號,to_agent,
spk02,A,49,A30,statement,兩部機,to_agent,
spk02,A,50,A18,statement,太子,to_agent,
spk02,A,51,A09,question,三點半,to_agent,
spk02,A,52,A15,statement,月頭,to_agent,
spk02,A,53,A02,question,七十蚊,to_agent,
spk02,A,54,A05,question,九百九十九蚊,to_agent,
spk02,A,55,A26,statement,100GB,to_agent,
spk02,A,56,A27,question,家居寬頻,to_agent,
spk02,A,57,A23,question,三十六個月,to_agent,
spk02,A,58,A30,question,兩部機,to_agent,
spk02,A,59,A29,statement,年費,to_agent,
spk02,A,60,A06,statement,五號,to_agent,
spk02,B,1,B-SD10,,"老婆,雪櫃仲有冇蛋",side,
spk02,B,2,B-TA14,,"好,冇問題",to_agent,
spk02,B,3,B-SD01,,"阿媽,啲湯飲得未",side,
spk02,B,4,B-SD03,,"老公,幫手晾埋啲衫",side,
spk02,B,5,B-SD20,,件衫掛咗喺邊,side,
spk02,B,6,B-SD15,,個熱水爐著咗未,side,
spk02,B,7,B-TA11,,咁係咪要另外收錢,to_agent,
spk02,B,8,B-SD17,,垃圾拎咗落去未,side,
spk02,B,9,B-TA12,,你可唔可以send個SMS俾我,to_agent,
spk02,B,10,B-TA15,,"唔係喎,我冇申請過呢個",to_agent,
spk02,B,11,B-TA03,,可唔可以轉個真人同我傾,to_agent,
spk02,B,12,B-TA19,,"你等等,我搵下張卡",to_agent,
spk02,B,13,B-TA01,,唔該你講清楚少少,to_agent,
spk02,B,14,B-SD07,,"仔仔,細聲啲啦",side,
spk02,B,15,B-TA02,,咁我要點做,to_agent,
spk02,B,16,B-TA09,,咁幾時會有人打俾我,to_agent,
spk02,B,17,B-TA07,,sorry可唔可以再講一次,to_agent,
spk02,B,18,B-TA13,,我諗諗先再覆你,to_agent,
spk02,B,19,B-TA10,,我想改個登記地址,to_agent,
spk02,B,20,B-SD06,,"家姐,借你支筆用下",side,
spk02,B,21,B-PR03,pair,你講咩話,to_agent,
spk02,B,22,B-PR03,pair,你講咩話,side,
spk02,B,23,B-PR08,pair,幾多錢話,to_agent,
spk02,B,24,B-PR08,pair,幾多錢話,side,
spk02,B,25,B-TA16,,咁張合約幾時完,to_agent,
spk02,B,26,B-PR09,pair,咁點算,to_agent,
spk02,B,27,B-PR09,pair,咁點算,side,
spk02,B,28,B-SD12,,邊個拎咗個遙控,side,
spk02,B,29,B-PR02,pair,好呀,to_agent,
spk02,B,30,B-PR02,pair,好呀,side,
spk02,B,31,B-PR10,pair,知道喇,to_agent,
spk02,B,32,B-PR10,pair,知道喇,side,
spk02,B,33,B-SD02,,"細佬,你攞咗我個叉電器呀",side,
spk02,B,34,B-TA08,,我記唔到你頭先講嘅,to_agent,
spk02,B,35,B-PR01,pair,等陣先,to_agent,
spk02,B,36,B-PR01,pair,等陣先,side,
spk02,B,37,B-SD11,,啲飯熟咗未,side,
spk02,B,38,B-SD09,,"Amy,你幾點返公司",side,
spk02,B,39,B-SD05,,"阿爸,你鎖咗門未",side,
spk02,B,40,B-PR04,pair,唔使喇,to_agent,
spk02,B,41,B-PR04,pair,唔使喇,side,
spk02,B,42,B-SD19,,你今晚返唔返嚟食飯,side,
spk02,B,43,B-PR06,pair,再講多次,to_agent,
spk02,B,44,B-PR06,pair,再講多次,side,
spk02,B,45,B-SD18,,張櫈擺返埋去,side,
spk02,B,46,B-TA06,,有冇折扣呀,to_agent,
spk02,B,47,B-TA20,,"OK,咁就咁啦",to_agent,
spk02,B,48,B-SD08,,"阿婆,你坐低先啦",side,
spk02,B,49,B-PR07,pair,得唔得呀,to_agent,
spk02,B,50,B-PR07,pair,得唔得呀,side,
spk02,B,51,B-SD16,,今日好熱呀,side,
spk02,B,52,B-SD13,,隻貓又跳上枱,side,
spk02,B,53,B-TA04,,我想查下張單,to_agent,
spk02,B,54,B-PR05,pair,係咪呀,to_agent,
spk02,B,55,B-PR05,pair,係咪呀,side,
spk02,B,56,B-TA18,,我部機成日斷線,to_agent,
spk02,B,57,B-SD14,,快啲換鞋啦,side,
spk02,B,58,B-TA05,,即係幾時要交錢,to_agent,
spk02,B,59,B-TA17,,可唔可以分期俾,to_agent,
spk02,B,60,B-SD04,,"囡囡,食完飯先玩",side,
spk02,C,1,C,,"(自然應聲,事後標注時間點)",to_agent,
spk03,A,1,A24,statement,一個禮拜,to_agent,
spk03,A,2,A22,question,十八個月,to_agent,
spk03,A,3,A30,statement,兩部機,to_agent,
spk03,A,4,A14,statement,月尾,to_agent,
spk03,A,5,A02,question,七十蚊,to_agent,
spk03,A,6,A20,statement,天水圍,to_agent,
spk03,A,7,A27,question,家居寬頻,to_agent,
spk03,A,8,A08,question,二十八號,to_agent,
spk03,A,9,A24,question,一個禮拜,to_agent,
spk03,A,10,A29,statement,年費,to_agent,
spk03,A,11,A17,question,北角,to_agent,
spk03,A,12,A11,statement,下晝五點,to_agent,
spk03,A,13,A28,question,行政費,to_agent,
spk03,A,14,A25,question,20GB,to_agent,
spk03,A,15,A30,question,兩部機,to_agent,
spk03,A,16,A19,statement,馬鞍山,to_agent,
spk03,A,17,A05,question,九百九十九蚊,to_agent,
spk03,A,18,A28,statement,行政費,to_agent,
spk03,A,19,A16,question,九龍塘,to_agent,
spk03,A,20,A19,question,馬鞍山,to_agent,
spk03,A,21,A10,statement,十一點,to_agent,
spk03,A,22,A02,statement,七十蚊,to_agent,
spk03,A,23,A09,question,三點半,to_agent,
spk03,A,24,A08,statement,二十八號,to_agent,
spk03,A,25,A09,statement,三點半,to_agent,
spk03,A,26,A04,question,二百三十八蚊,to_agent,
spk03,A,27,A14,question,月尾,to_agent,
spk03,A,28,A22,statement,十八個月,to_agent,
spk03,A,29,A18,question,太子,to_agent,
spk03,A,30,A21,statement,深水埗,to_agent,
spk03,A,31,A15,question,月頭,to_agent,
spk03,A,32,A06,statement,五號,to_agent,
spk03,A,33,A07,question,二十號,to_agent,
spk03,A,34,A26,question,100GB,to_agent,
spk03,A,35,A13,statement,下個禮拜三,to_agent,
spk03,A,36,A27,statement,家居寬頻,to_agent,
spk03,A,37,A16,statement,九龍塘,to_agent,
spk03,A,38,A13,question,下個禮拜三,to_agent,
spk03,A,39,A21,question,深水埗,to_agent,
spk03,A,40,A03,statement,一千五百蚊,to_agent,
spk03,A,41,A20,question,天水圍,to_agent,
spk03,A,42,A01,statement,四百蚊,to_agent,
spk03,A,43,A12,question,八點半,to_agent,
spk03,A,44,A23,question,三十六個月,to_agent,
spk03,A,45,A05,statement,九百九十九蚊,to_agent,
spk03,A,46,A12,statement,八點半,to_agent,
spk03,A,47,A07,statement,二十號,to_agent,
spk03,A,48,A18,statement,太子,to_agent,
spk03,A,49,A01,question,四百蚊,to_agent,
spk03,A,50,A11,question,下晝五點,to_agent,
spk03,A,51,A29,question,年費,to_agent,
spk03,A,52,A23,statement,三十六個月,to_agent,
spk03,A,53,A25,statement,20GB,to_agent,
spk03,A,54,A10,question,十一點,to_agent,
spk03,A,55,A26,statement,100GB,to_agent,
spk03,A,56,A04,statement,二百三十八蚊,to_agent,
spk03,A,57,A03,question,一千五百蚊,to_agent,
spk03,A,58,A17,statement,北角,to_agent,
spk03,A,59,A06,question,五號,to_agent,
spk03,A,60,A15,statement,月頭,to_agent,
spk03,B,1,B-SD20,,件衫掛咗喺邊,side,
spk03,B,2,B-PR09,pair,咁點算,to_agent,
spk03,B,3,B-PR09,pair,咁點算,side,
spk03,B,4,B-PR03,pair,你講咩話,to_agent,
spk03,B,5,B-PR03,pair,你講咩話,side,
spk03,B,6,B-TA14,,"好,冇問題",to_agent,
spk03,B,7,B-TA17,,可唔可以分期俾,to_agent,
spk03,B,8,B-SD07,,"仔仔,細聲啲啦",side,
spk03,B,9,B-TA15,,"唔係喎,我冇申請過呢個",to_agent,
spk03,B,10,B-TA06,,有冇折扣呀,to_agent,
spk03,B,11,B-PR05,pair,係咪呀,to_agent,
spk03,B,12,B-PR05,pair,係咪呀,side,
spk03,B,13,B-TA19,,"你等等,我搵下張卡",to_agent,
spk03,B,14,B-SD08,,"阿婆,你坐低先啦",side,
spk03,B,15,B-TA08,,我記唔到你頭先講嘅,to_agent,
spk03,B,16,B-TA16,,咁張合約幾時完,to_agent,
spk03,B,17,B-PR10,pair,知道喇,to_agent,
spk03,B,18,B-PR10,pair,知道喇,side,
spk03,B,19,B-TA18,,我部機成日斷線,to_agent,
spk03,B,20,B-SD06,,"家姐,借你支筆用下",side,
spk03,B,21,B-PR06,pair,再講多次,to_agent,
spk03,B,22,B-PR06,pair,再講多次,side,
spk03,B,23,B-SD03,,"老公,幫手晾埋啲衫",side,
spk03,B,24,B-SD14,,快啲換鞋啦,side,
spk03,B,25,B-SD09,,"Amy,你幾點返公司",side,
spk03,B,26,B-SD17,,垃圾拎咗落去未,side,
spk03,B,27,B-SD19,,你今晚返唔返嚟食飯,side,
spk03,B,28,B-SD16,,今日好熱呀,side,
spk03,B,29,B-SD10,,"老婆,雪櫃仲有冇蛋",side,
spk03,B,30,B-TA13,,我諗諗先再覆你,to_agent,
spk03,B,31,B-PR07,pair,得唔得呀,to_agent,
spk03,B,32,B-PR07,pair,得唔得呀,side,
spk03,B,33,B-PR04,pair,唔使喇,to_agent,
spk03,B,34,B-PR04,pair,唔使喇,side,
spk03,B,35,B-TA02,,咁我要點做,to_agent,
spk03,B,36,B-SD18,,張櫈擺返埋去,side,
spk03,B,37,B-TA10,,我想改個登記地址,to_agent,
spk03,B,38,B-TA09,,咁幾時會有人打俾我,to_agent,
spk03,B,39,B-SD02,,"細佬,你攞咗我個叉電器呀",side,
spk03,B,40,B-SD11,,啲飯熟咗未,side,
spk03,B,41,B-PR02,pair,好呀,to_agent,
spk03,B,42,B-PR02,pair,好呀,side,
spk03,B,43,B-PR01,pair,等陣先,to_agent,
spk03,B,44,B-PR01,pair,等陣先,side,
spk03,B,45,B-TA20,,"OK,咁就咁啦",to_agent,
spk03,B,46,B-TA05,,即係幾時要交錢,to_agent,
spk03,B,47,B-SD05,,"阿爸,你鎖咗門未",side,
spk03,B,48,B-TA11,,咁係咪要另外收錢,to_agent,
spk03,B,49,B-TA12,,你可唔可以send個SMS俾我,to_agent,
spk03,B,50,B-SD13,,隻貓又跳上枱,side,
spk03,B,51,B-TA07,,sorry可唔可以再講一次,to_agent,
spk03,B,52,B-PR08,pair,幾多錢話,to_agent,
spk03,B,53,B-PR08,pair,幾多錢話,side,
spk03,B,54,B-SD12,,邊個拎咗個遙控,side,
spk03,B,55,B-TA01,,唔該你講清楚少少,to_agent,
spk03,B,56,B-SD04,,"囡囡,食完飯先玩",side,
spk03,B,57,B-TA03,,可唔可以轉個真人同我傾,to_agent,
spk03,B,58,B-TA04,,我想查下張單,to_agent,
spk03,B,59,B-SD01,,"阿媽,啲湯飲得未",side,
spk03,B,60,B-SD15,,個熱水爐著咗未,side,
spk03,C,1,C,,"(自然應聲,事後標注時間點)",to_agent,
spk04,A,1,A12,question,八點半,to_agent,
spk04,A,2,A09,question,三點半,to_agent,
spk04,A,3,A30,statement,兩部機,to_agent,
spk04,A,4,A26,statement,100GB,to_agent,
spk04,A,5,A13,statement,下個禮拜三,to_agent,
spk04,A,6,A27,statement,家居寬頻,to_agent,
spk04,A,7,A28,statement,行政費,to_agent,
spk04,A,8,A13,question,下個禮拜三,to_agent,
spk04,A,9,A30,question,兩部機,to_agent,
spk04,A,10,A08,question,二十八號,to_agent,
spk04,A,11,A06,question,五號,to_agent,
spk04,A,12,A02,question,七十蚊,to_agent,
spk04,A,13,A06,statement,五號,to_agent,
spk04,A,14,A16,statement,九龍塘,to_agent,
spk04,A,15,A10,question,十一點,to_agent,
spk04,A,16,A24,statement,一個禮拜,to_agent,
spk04,A,17,A26,question,100GB,to_agent,
spk04,A,18,A10,statement,十一點,to_agent,
spk04,A,19,A04,statement,二百三十八蚊,to_agent,
spk04,A,20,A15,question,月頭,to_agent,
spk04,A,21,A09,statement,三點半,to_agent,
spk04,A,22,A15,statement,月頭,to_agent,
spk04,A,23,A18,statement,太子,to_agent,
spk04,A,24,A29,statement,年費,to_agent,
spk04,A,25,A20,question,天水圍,to_agent,
spk04,A,26,A14,statement,月尾,to_agent,
spk04,A,27,A16,question,九龍塘,to_agent,
spk04,A,28,A23,statement,三十六個月,to_agent,
spk04,A,29,A19,statement,馬鞍山,to_agent,
spk04,A,30,A17,statement,北角,to_agent,
spk04,A,31,A25,question,20GB,to_agent,
spk04,A,32,A11,question,下晝五點,to_agent,
spk04,A,33,A03,statement,一千五百蚊,to_agent,
spk04,A,34,A19,question,馬鞍山,to_agent,
spk04,A,35,A05,question,九百九十九蚊,to_agent,
spk04,A,36,A01,statement,四百蚊,to_agent,
spk04,A,37,A22,statement,十八個月,to_agent,
spk04,A,38,A01,question,四百蚊,to_agent,
spk04,A,39,A08,statement,二十八號,to_agent,
spk04,A,40,A27,question,家居寬頻,to_agent,
spk04,A,41,A03,question,一千五百蚊,to_agent,
spk04,A,42,A12,statement,八點半,to_agent,
spk04,A,43,A29,question,年費,to_agent,
spk04,A,44,A05,statement,九百九十九蚊,to_agent,
spk04,A,45,A28,question,行政費,to_agent,
spk04,A,46,A02,statement,七十蚊,to_agent,
spk04,A,47,A21,statement,深水埗,to_agent,
spk04,A,48,A11,statement,下晝五點,to_agent,
spk04,A,49,A07,statement,二十號,to_agent,
spk04,A,50,A25,statement,20GB,to_agent,
spk04,A,51,A07,question,二十號,to_agent,
spk04,A,52,A21,question,深水埗,to_agent,
spk04,A,53,A17,question,北角,to_agent,
spk04,A,54,A22,question,十八個月,to_agent,
spk04,A,55,A23,question,三十六個月,to_agent,
spk04,A,56,A18,question,太子,to_agent,
spk04,A,57,A20,statement,天水圍,to_agent,
spk04,A,58,A24,question,一個禮拜,to_agent,
spk04,A,59,A04,question,二百三十八蚊,to_agent,
spk04,A,60,A14,question,月尾,to_agent,
spk04,B,1,B-PR06,pair,再講多次,to_agent,
spk04,B,2,B-PR06,pair,再講多次,side,
spk04,B,3,B-SD02,,"細佬,你攞咗我個叉電器呀",side,
spk04,B,4,B-PR05,pair,係咪呀,to_agent,
spk04,B,5,B-PR05,pair,係咪呀,side,
spk04,B,6,B-PR03,pair,你講咩話,to_agent,
spk04,B,7,B-PR03,pair,你講咩話,side,
spk04,B,8,B-PR01,pair,等陣先,to_agent,
spk04,B,9,B-PR01,pair,等陣先,side,
spk04,B,10,B-SD19,,你今晚返唔返嚟食飯,side,
spk04,B,11,B-TA03,,可唔可以轉個真人同我傾,to_agent,
spk04,B,12,B-SD20,,件衫掛咗喺邊,side,
spk04,B,13,B-SD18,,張櫈擺返埋去,side,
spk04,B,14,B-TA01,,唔該你講清楚少少,to_agent,
spk04,B,15,B-TA18,,我部機成日斷線,to_agent,
spk04,B,16,B-TA17,,可唔可以分期俾,to_agent,
spk04,B,17,B-TA13,,我諗諗先再覆你,to_agent,
spk04,B,18,B-TA06,,有冇折扣呀,to_agent,
spk04,B,19,B-TA07,,sorry可唔可以再講一次,to_agent,
spk04,B,20,B-TA05,,即係幾時要交錢,to_agent,
spk04,B,21,B-SD08,,"阿婆,你坐低先啦",side,
spk04,B,22,B-PR09,pair,咁點算,to_agent,
spk04,B,23,B-PR09,pair,咁點算,side,
spk04,B,24,B-SD14,,快啲換鞋啦,side,
spk04,B,25,B-SD13,,隻貓又跳上枱,side,
spk04,B,26,B-SD07,,"仔仔,細聲啲啦",side,
spk04,B,27,B-TA15,,"唔係喎,我冇申請過呢個",to_agent,
spk04,B,28,B-TA04,,我想查下張單,to_agent,
spk04,B,29,B-TA19,,"你等等,我搵下張卡",to_agent,
spk04,B,30,B-PR07,pair,得唔得呀,to_agent,
spk04,B,31,B-PR07,pair,得唔得呀,side,
spk04,B,32,B-SD06,,"家姐,借你支筆用下",side,
spk04,B,33,B-TA16,,咁張合約幾時完,to_agent,
spk04,B,34,B-SD04,,"囡囡,食完飯先玩",side,
spk04,B,35,B-TA08,,我記唔到你頭先講嘅,to_agent,
spk04,B,36,B-SD17,,垃圾拎咗落去未,side,
spk04,B,37,B-TA14,,"好,冇問題",to_agent,
spk04,B,38,B-SD12,,邊個拎咗個遙控,side,
spk04,B,39,B-SD05,,"阿爸,你鎖咗門未",side,
spk04,B,40,B-SD09,,"Amy,你幾點返公司",side,
spk04,B,41,B-TA20,,"OK,咁就咁啦",to_agent,
spk04,B,42,B-PR02,pair,好呀,to_agent,
spk04,B,43,B-PR02,pair,好呀,side,
spk04,B,44,B-SD01,,"阿媽,啲湯飲得未",side,
spk04,B,45,B-PR04,pair,唔使喇,to_agent,
spk04,B,46,B-PR04,pair,唔使喇,side,
spk04,B,47,B-SD16,,今日好熱呀,side,
spk04,B,48,B-SD03,,"老公,幫手晾埋啲衫",side,
spk04,B,49,B-SD15,,個熱水爐著咗未,side,
spk04,B,50,B-TA10,,我想改個登記地址,to_agent,
spk04,B,51,B-PR10,pair,知道喇,to_agent,
spk04,B,52,B-PR10,pair,知道喇,side,
spk04,B,53,B-TA02,,咁我要點做,to_agent,
spk04,B,54,B-TA11,,咁係咪要另外收錢,to_agent,
spk04,B,55,B-PR08,pair,幾多錢話,to_agent,
spk04,B,56,B-PR08,pair,幾多錢話,side,
spk04,B,57,B-SD11,,啲飯熟咗未,side,
spk04,B,58,B-TA12,,你可唔可以send個SMS俾我,to_agent,
spk04,B,59,B-TA09,,咁幾時會有人打俾我,to_agent,
spk04,B,60,B-SD10,,"老婆,雪櫃仲有冇蛋",side,
spk04,C,1,C,,"(自然應聲,事後標注時間點)",to_agent,
spk05,A,1,A06,question,五號,to_agent,
spk05,A,2,A28,statement,行政費,to_agent,
spk05,A,3,A25,statement,20GB,to_agent,
spk05,A,4,A14,statement,月尾,to_agent,
spk05,A,5,A30,statement,兩部機,to_agent,
spk05,A,6,A01,question,四百蚊,to_agent,
spk05,A,7,A29,question,年費,to_agent,
spk05,A,8,A25,question,20GB,to_agent,
spk05,A,9,A03,question,一千五百蚊,to_agent,
spk05,A,10,A17,question,北角,to_agent,
spk05,A,11,A03,statement,一千五百蚊,to_agent,
spk05,A,12,A30,question,兩部機,to_agent,
spk05,A,13,A28,question,行政費,to_agent,
spk05,A,14,A23,statement,三十六個月,to_agent,
spk05,A,15,A15,question,月頭,to_agent,
spk05,A,16,A21,statement,深水埗,to_agent,
spk05,A,17,A10,question,十一點,to_agent,
spk05,A,18,A15,statement,月頭,to_agent,
spk05,A,19,A05,question,九百九十九蚊,to_agent,
spk05,A,20,A01,statement,四百蚊,to_agent,
spk05,A,21,A09,statement,三點半,to_agent,
spk05,A,22,A24,statement,一個禮拜,to_agent,
spk05,A,23,A07,question,二十號,to_agent,
spk05,A,24,A20,statement,天水圍,to_agent,
spk05,A,25,A13,question,下個禮拜三,to_agent,
